...1	Bin ID	Bin Quality	Bin Lineage	Domain	Phylum	Class	Order	Family	Genus	Bin Methods	Created By	Date Added	Completeness	Contamination	Total Number of Bases	5s rRNA	16s rRNA	23s rRNA	tRNA Genes	Gene Count	Scaffold Count
NA	3300050821_1384	MQ	NA	Archaea	 Thermoplasmatota	 Thermoplasmata	 UBA184	 UBA184	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	86.67	3.2	1941259	0	0	1	40	1909	115
NA	3300050821_1556	MQ	NA	Archaea	 Thermoplasmatota	 Thermoplasmata	 UBA184	 UBA184	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	51.77	0.84	786641	0	0	1	17	868	143
NA	3300050821_2191	MQ	NA	Archaea	 Thermoplasmatota	 Thermoplasmata	 UBA184	 UBA184	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	55.59	1.2	933889	1	0	0	23	1044	133
NA	3300050821_1635	MQ	Archaea	Archaea	 Thermoproteota	 Bathyarchaeia	 40CM-2-53-6	 40CM-2-53-6	 40CM-2-53-6	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	67.14	3.4	1065532	1	0	0	21	1217	99
NA	3300050821_379	HQ	Archaea; Thaumarchaeota; unclassified; unclassified; unclassified; Candidatus Nitrosotalea	Archaea	 Thermoproteota	 Nitrososphaeria	 Nitrososphaerales	 Nitrosopumilaceae	 TA-20	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	98.54	0	1695239	1	1	1	44	1999	38
NA	3300050821_1544	MQ	Archaea; Thaumarchaeota; unclassified; unclassified; unclassified; Candidatus Nitrosotalea	Archaea	 Thermoproteota	 Nitrososphaeria	 Nitrososphaerales	 Nitrosopumilaceae	 TA-20	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	86.57	2.91	1543959	1	1	0	36	1873	111
NA	3300050821_1322	MQ	Bacteria	Bacteria	 Acidobacteriota	 Acidobacteriae	 20CM-2-55-15	 20CM-2-55-15	 20CM-2-55-15	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	66.74	4.7	5111301	1	1	1	25	5094	494
NA	3300050821_2669	MQ	Bacteria	Bacteria	 Acidobacteriota	 Acidobacteriae	 20CM-2-55-15	 20CM-2-55-15	 20CM-2-55-15	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	68.73	4.07	5516417	1	1	1	28	5464	574
NA	3300050821_1224	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Silvibacterium; Silvibacterium bohemicum	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	85.33	1.03	3487604	1	0	0	25	3192	209
NA	3300050821_1369	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	82.1	1.99	2874949	0	0	0	19	2548	182
NA	3300050821_1606	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Silvibacterium; Silvibacterium bohemicum	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	64.98	0	3481603	0	0	0	25	3328	304
NA	3300050821_1835	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	54.31	0	2247267	0	0	0	12	2083	321
NA	3300050821_2552	MQ	Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	 Acidobacteriaceae	NA	MetaBAT v2:2.15, CheckM v1.1.3, GTDB-tk v1.3.0,GTDB database release 95	IMG_PIPELINE	2022-07-18	87.5	0.85	4305808	1	0	0	26	4035	266
